Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8246558,2018-11-27 12:45:24,2018-11-27 05:52:24,23151739,6776935499,23151739,292,2565,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/246/SRR8246558/SRR8246558.sralite.1,SRX5064619,Cann_breaker,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP170845,PRJNA505972,,505972,SRS4080318,SAMN10440283,simple,4072,Capsicum annuum,Capsicum_annuum_breaker,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA815154,,public,8EEA0863EB2A47598B1B5B3CE72E1F3D,AE55AEA577C43EF5CFFCFF76EA0B2910
SRR8246555,2018-11-27 08:59:11,2018-11-27 05:53:33,28568535,8320450955,28568535,291,3113,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/246/SRR8246555/SRR8246555.sralite.1,SRX5064622,Cann_early,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP170845,PRJNA505972,,505972,SRS4080321,SAMN10440163,simple,4072,Capsicum annuum,Capsicum_annuum_early,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA815154,,public,AA5DD2C408F65C4A253F58B7DB743FF7,951C43BDDD9CA48FD8D6E30A5062B1DC
SRR8246556,2018-11-27 05:55:12,2018-11-27 05:47:43,23705444,6946645047,23705444,293,2556,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/246/SRR8246556/SRR8246556.sralite.1,SRX5064621,Cann_flower,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP170845,PRJNA505972,,505972,SRS4080320,SAMN10440162,simple,4072,Capsicum annuum,Capsicum_annuum_flower,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA815154,,public,83A437D38BF70F8FAB84B45D23C80659,944511FA4DEB8F2526CE310309011D12
SRR8246557,2018-11-27 07:14:11,2018-11-27 05:52:24,25637874,7501203168,25637874,292,2832,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/246/SRR8246557/SRR8246557.sralite.1,SRX5064620,Cann_mature,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP170845,PRJNA505972,,505972,SRS4080319,SAMN10440284,simple,4072,Capsicum annuum,Capsicum_annuum_mature,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA815154,,public,C3608C3FAB65E141413FD19DB6B42FD8,64A016943EC5DAE8F26266895351628E
