Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8351379,2019-06-30 00:55:03,2018-12-19 03:34:17,224836953,44967390600,224836953,200,13625,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/351/SRR8351379.sralite.1,SRX5162336,Cann_S2_WGBS_fruit,Bisulfite-Seq,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP173854,PRJNA509740,,509740,SRS4171523,SAMN10587591,simple,4072,Capsicum annuum,Capsicum_annuum_Isc_S2,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,5EBBE221DAEABA73D44646CFF8CF7A1A,87A19350DD06324F1B77137FD8B6DB9E
SRR8351380,2019-06-30 00:55:03,2018-12-19 03:31:38,201509754,40301950800,201509754,200,12065,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/351/SRR8351380.sralite.1,SRX5162335,Cann_S1_WGBS_fruit,Bisulfite-Seq,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP173854,PRJNA509740,,509740,SRS4171522,SAMN10587572,simple,4072,Capsicum annuum,Capsicum_annuum_dudu_S1,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,0B3E2D16F95706C3541B890FE9B3F284,EC64BD0748BA33C2368A43C8225875E3
SRR8351376,2019-06-30 00:55:03,2018-12-19 03:01:40,101063592,29545234669,101063592,292,11067,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/351/SRR8351376.sralite.1,SRX5162339,Cann_S1_RNAseq_fruit,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP173854,PRJNA509740,,509740,SRS4171527,SAMN10587594,simple,4072,Capsicum annuum,Capsicum_annuum_fruit_S1,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,5AF40923353726D75412286A3EA637B0,0648F5818AAB599706D6A51E8B2E0C2F
SRR8351378,2019-06-30 00:55:03,2018-12-19 04:04:10,242808669,48561733800,242808669,200,14569,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/351/SRR8351378.sralite.1,SRX5162337,Cchin_S3_WGBS_fruit,Bisulfite-Seq,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP173854,PRJNA509740,,509740,SRS4171524,SAMN10587592,simple,80379,Capsicum chinense,Capsicum_chinense_S3,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,6B2E4C983AC034414C4583CE937DE7A4,67C4E484CDCE6E9AA7B4B1758C194951
SRR8351375,2019-06-30 00:55:03,2018-12-21 18:38:32,56193001,10712926075,49875574,190,7168,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/351/SRR8351375.sralite.1,SRX5162340,Cchin_S3_RNAseq_fruit,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP173854,PRJNA509740,,509740,SRS4171526,SAMN10587595,simple,80379,Capsicum chinense,Capsicum_chinense_fruit_S3,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,46914CF2F9568664D5C1432B923A251E,620331F8284957339F2A06DCE7180678
SRR8351377,2019-06-30 00:55:03,2018-12-19 04:10:08,243306281,48661256200,243306281,200,14630,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/351/SRR8351377.sralite.1,SRX5162338,Cfrut_S4_WGBS_fruit,Bisulfite-Seq,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP173854,PRJNA509740,,509740,SRS4171525,SAMN10587593,simple,4073,Capsicum frutescens,Capsicum_frutescens_S4,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,40B455A15747CD463F61A2577D19B1A6,73448EB4779F0BA7646D171DA65FCEB7
SRR8351374,2019-06-30 00:55:03,2018-12-19 02:04:08,52473585,10599664170,52473585,202,6253,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/351/SRR8351374.sralite.1,SRX5162341,Cfrut_S4_RNAseq_fruit,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP173854,PRJNA509740,,509740,SRS4171528,SAMN10587596,simple,4073,Capsicum frutescens,Capsicum_frutescens_fruit_S4,,,,,,,no,,,,,JAWAHARLAL NEHRU UNIVERSITY,SRA824898,,public,B5F9512B6806EABEC81771C7ED74AB32,BD340007CC5DE60ED6F8421F25AE7F5C
