"","Run","LibraryName","BioProject","ScientificName","avgLength","LibraryStrategy","Platform","Sample","LibraryLayout","LibrarySelection"
"42","SRR771942",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400931","PAIRED","cDNA"
"43","SRR771943",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400932","PAIRED","cDNA"
"44","SRR771944",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400933","PAIRED","cDNA"
"45","SRR771945",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400934","PAIRED","cDNA"
"46","SRR771946",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400935","PAIRED","cDNA"
"47","SRR771947",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400936","PAIRED","cDNA"
"48","SRR771948",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400937","PAIRED","cDNA"
"49","SRR771949",NA,"PRJNA193077","Capsicum chinense",180,"RNA-Seq","ILLUMINA","SRS400938","PAIRED","cDNA"
"50","SRR771950",NA,"PRJNA193077","Capsicum chinense",180,"RNA-Seq","ILLUMINA","SRS400939","PAIRED","cDNA"
"51","SRR771951",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400940","PAIRED","cDNA"
"52","SRR771952",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400941","PAIRED","cDNA"
"53","SRR771953",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400942","PAIRED","cDNA"
"54","SRR771954",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400943","PAIRED","cDNA"
"55","SRR771955",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400944","PAIRED","cDNA"
"56","SRR771956",NA,"PRJNA193077","Capsicum annuum",180,"RNA-Seq","ILLUMINA","SRS400945","PAIRED","cDNA"
